Specialist Task,Specialist Cluster,Cluster Family,Skill Statement
Document ICT design or development procedures,Develop procedures for communications and data management,Operating procedures and processes,"Develop and maintain documentation on ICT design or development for software, systems, or products in order to meet record keeping or reporting requirements, or to aid in future design, development, or troubleshooting activity. Ensure documentation is clear, comprehensive, and includes key information such as steps, test results, revisions, iterations, methodologies, tools, and standards. Follow documentation standards and templates when applying content format."
Document ICT network-related activities or tasks,Develop procedures for communications and data management,Operating procedures and processes,"Develop and maintain documentation on ICT network-related activities or tasks within an organisation in order to support network operations, repair, troubleshooting, record keeping or reporting. This could include, for example, network installations, network changes, server load, bandwidth, or database performance. Follow documentation standards and templates when applying content format. Ensure documentation is clear and comprehensive."
Identify information technology project resource requirements,Develop procedures for communications and data management,Operating procedures and processes,"Determine information technology project resource requirements for the successful completion of a project. Assess project scope, objectives, and deliverables to identify necessary factors such as staff, resources, equipment, software, and infrastructure."
Direct energy production or management activities,Direct operational or production activities,Operating procedures and processes,"Direct and oversee energy production or management activities, for example, the processes behind resource extraction, power generation, distribution, and storage. This may include providing specialist or technical knowledge and guidance or undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as managing staff and resource allocation; providing supervision, guidance, and direction; and ensuring legislative or regulatory requirements are adhered to."
Direct industrial production activities,Direct operational or production activities,Operating procedures and processes,"Direct and oversee industrial production activities, including in the fields of manufacturing, mining, and utilities, in order to ensure quality and safety standards are adhered to and production goals are met. This may include providing specialist or technical knowledge and guidance or undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as managing staff and resource allocation; providing supervision, guidance, and direction; and ensuring legislative or regulatory requirements are adhered to."
Direct operational activities,Direct operational or production activities,Operating procedures and processes,"Direct and oversee operational activities in order to ensure quality and safety standards are adhered to and operational goals are met. This may include providing specialist or technical knowledge and guidance or undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as managing staff and resource allocation; providing supervision, guidance, and direction; and ensuring legislative or regulatory requirements are adhered to."
Direct technical activities or operations,Direct operational or production activities,Operating procedures and processes,"Direct and oversee technical activities or operations in order to ensure projects meet technical requirements, quality and safety standards are adhered to and operational goals are met. This may include providing specialist or technical knowledge and guidance or undertaking general project management tasks to ensure project goals, timelines and budgets are met - such as managing staff and resource allocation; providing supervision, guidance, and direction; and ensuring legislative or regulatory requirements are adhered to."
Compile operational data,Manage or document operational procedure or process,Operating procedures and processes,"Gather and organisational operational data from sources such as outputs, reports, surveys, or databases in order to increase understanding, facilitate work, analysis, or investigation, or meet reporting, evidentiary, or documentary requirements. Identify the required or relevant operational data and organise into logs, reports, summaries, or prepare or ingest data for analysis. Ensure organisation facilitates required use and data is stored in accordance with relevant regulations, standards, or legislation."
Determine operational methods or procedures,Manage or document operational procedure or process,Operating procedures and processes,"Determine the appropriate operational methods, techniques, procedures, or processes to complete a task or process and ensure work is conducted efficiently and safely. Consider factors such as resources, efficacy, quality, feasibility, availability, environmental impact, safety, regulations, and risk. Analyse job requirements, existing or best practice, and other relevant data and research to aid in operational decisions."
Document operational activities,Manage or document operational procedure or process,Operating procedures and processes,"Collect and record logs, reports or other documentation of operational activities, procedures, or processes, for example, resource usage, time sheets, operational tasks, invoices, or warranties in accordance with legislation, policy, and procedures. Determine the appropriate format for the documentation and identify relevant information for inclusion. Draft documentation in accordance with workplace procedures and convention. Ensure documentation is clear and comprehensive."
Document organisational or operational procedures,Manage or document operational procedure or process,Operating procedures and processes,"Document organisational or operational procedures and processes in order to provide instruction or guidance to employees, or to meet record keeping or reporting requirements. This could include detailed work instruction manuals, guidelines or operating procedures and tests for a range of organisational areas. Determine the appropriate format for the documentation and identify relevant information for inclusion. The document should include relevant information such as steps, guidelines, and other supporting information to help ensure consistency, efficiency, safety and reliability in work activities."
Model operational processes,Manage or document operational procedure or process,Operating procedures and processes,"Develop models of operational processes in order to understand or communicate how factors such as people, functions, infrastructure, transportation, equipment, machinery, procedures and activities are structured or interact with each other, and how this impacts operational goals. Determine the appropriate modeling technique and identify relevant information for inclusion. Modeling outputs may be used to facilitate decision-making, make improvements, or increase understanding. This may involve the use of specialised software."
"Prepare operational performance, progress, or status reports",Manage or document operational procedure or process,Operating procedures and processes,"Prepare operational reports that summarise the operational outcomes, accomplishments, or performance of an organisation; or activity, progress, or status reports that provide updates on the status of specific activities, programs, services, or initiatives. Determine the appropriate format for the documentation and identify relevant information and data for inclusion. Gather and analyse data in order to determine the progress of a project and to give future timeframe predictions. Present the information to relevant management, stakeholders, team members or regulatory or governing agencies as required."
Record operational details of travel,Manage or document operational procedure or process,Operating procedures and processes,"Maintain operational records of travel activities in order to meet record keeping or reporting requirements, identify issues and ensure safety, or facilitate administrative functions. Records may include, for example, transportation methods, crew and passenger information, departure and arrival times, weather conditions, distance travelled, routes, destinations, stops, fuel consumption, and any issues. Ensure documentation is clear, comprehensive, and in accordance with regulations and workplace procedures."
"Review designs, blueprints, specifications, diagrams, work orders or other documentation to determine work requirements",Review work orders and project needs,Operating procedures and processes,"Read, interpret, and understand work documentation such as reports, designs, blueprints, specifications, work orders, technical information, or other instructions to determine work requirements. These may include the required materials, resources, equipment, tools, machinery, timeframes, dependencies, procedures, processes, sequences, or methods to deliver the required outcome."
Develop detailed work or project plans,Undertake project planning,Operating procedures and processes,"Develop and prepare detailed work or project plans that define and lay out the requirements needed to complete projects, for example the scope, timeframes, objectives, materials, resources, equipment, tasks, steps, and processes. Consider dependencies, risks, and contingencies. This may include assigning tasks or responsibilities to team members and modifying workplans as circumstances change."
Lay out work according to specifications,Undertake project planning,Operating procedures and processes,"Plan, arrange, organise, and lay out work activities or elements according to relevant specifications. Review blueprints, diagrams, drawings, guidelines, plans, or other instructions in order to ensure logical or effective sequencing of work tasks and the accurate placement, alignment, or arrangement of components or workpieces. Utilise appropriate equipment, for example measuring tools, templates, scribes, compasses to ensure work is accurate. Confirm compliance and make adjustments to ensure work is aligned with job specifications."
Manage project risk,Undertake project planning,Operating procedures and processes,"Identify, analyse, and manage or mitigate project risk in order to ensure projects are completed effectively, safety, and with minimal adverse impact or consequences. Undertake risk assessments to establish level of risk and identify risk mitigation strategies, assessing these against organisational or other risk appetite. Continuously monitor project risks and controls, while implementing adjustments to projects or mitigating strategies as necessary."
Negotiate project specifications,Undertake project planning,Operating procedures and processes,"Negotiate with relevant stakeholders to establish and finalise project specifications. This may include establishing and agreeing on factors such as project responsibilities, requirements, resourcing, deliverables, and objectives. Anticipate stakeholder concerns, identifying areas of alignment and potential trade-offs to reach mutually beneficial agreements that align with desired outcomes and relevant standards, codes, or legislation. Document the final conditions of the project specifications in accordance with organisational and professional standards."
Prepare production storyboards,Undertake project planning,Operating procedures and processes,"Prepare storyboards that visually map out or outline the content, sequence, timing, transitions, and key elements of audiovisual productions. Use storyboarding techniques, methods, and tools in order to break down content, stories and scripts into frames to help guide creative and technical teams or seek approval for creative direction and content."
"Evaluate physical capabilities, skills or training needs",Evaluate capabilities of athletes or performers,Performance evaluation and efficiency improvement,"Observe and evaluate the physical abilities, skills, aptitude, behaviour, or condition of others in order to assess or score performance, or to deliver training or corrective measures which meet the individual's specific needs or learning style."
Determine causes of operational problems or failures,Improve operational performance,Performance evaluation and efficiency improvement,"Determine the root cause of operational problems or failures, for example equipment, device or product malfunctions and system or software failures, in order to inform remedial or preventative action and ensure compliance with regulations and codes."
"Develop environmental conservation, remediation or sustainability plans for industrial or development processes",Improve operational performance,Performance evaluation and efficiency improvement,"Develop conservation, remediation and management methods and strategies in order to minimise or eliminate the negative impact of industrial production and development processes on the environment. Utilise knowledge and information gained from the study of pollution, ecology, mineral, soil and water samples, environmental impact assessments, as well as the review of environmental standards and regulations."
Identify opportunities to improve operational efficiency,Improve operational performance,Performance evaluation and efficiency improvement,"Identify opportunities to improve the efficiency of operating procedures in order to improve product or service delivery, reduce costs or increase profits. For example, improving energy usage, streamlining operating procedures, or examining alternative material supply options."
Modify software programs to improve performance,Improve operational performance,Performance evaluation and efficiency improvement,"Review and evaluate existing computer software programs, packages, and systems in order to make changes that increase operating efficiency and performance, address issues or problems, or adapt to new business or operating requirements."
Monitor the productivity or efficiency of industrial operations,Improve operational performance,Performance evaluation and efficiency improvement,"Monitor the performance of processes, equipment, machinery, and systems in an industrial setting in order to detect issues, ensure productivity, or improve efficiency. This may be done through observation or testing."
"Recommend technical design or process changes to improve efficiency, quality or performance",Improve operational performance,Performance evaluation and efficiency improvement,"Provide advice and recommendations in order to improve the efficiency, quality or performance of systems or processes across a range of contexts such as information technology, logistics, communication, production, engineering and other industrial applications. This could include designing, modifying or reconfiguring machines, equipment, processes, and materials or suggesting changes to staffing or labour requirements."
Resolve operational performance problems,Improve operational performance,Performance evaluation and efficiency improvement,"Identify problems impacting operational performance such as process bottlenecks, logistics, equipment or facility issues, safety management, or technical design issues, and initiate solutions to resolve them."
Apply extended reality solutions in organisations,"Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,Design and implement augmented and virtual reality user experience solutions across organisational processes in order to improve productivity or engagement. It includes investigating extended reality technologies and developing user experience solutions to meet business requirements.
Apply new technologies to improve work processes,"Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Apply new technologies in order to improve work processes, for example by increasing efficiency, reducing costs, increasing output, or addressing issues."
"Conduct research to gain information about information technology products, systems or processes","Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Conduct research, including through observation or testing, of an existing information technology system in order to understand its functioning and performance, or of products and processes that may be applied to improve or fix an existing system or meet emerging technical, operating or security needs."
Design alternative energy equipment or systems,"Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Design, develop and improve alternative energy equipment or systems, for example for the use or storage of hydroelectric, solar, geothermal, wind, nuclear or biomass energy, in order to reduce the environmental impacts of energy generation and use."
"Evaluate potential of products, technologies, methods or resources","Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Use observation, testing or research to evaluate the capabilities and features of products, technology, methods, or resources and determine whether the resource could benefit, enhance, or improve processes or operations."
Identify new applications for existing technologies,"Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Determine new applications for existing technologies in order to capture new markets, improve processes or products, or make scientific or technical advancements. For example, utilising blockchain to track and provide transparency around sustainability in the fashion industry, or nanotechnology to engineer body tissue for medical procedures."
Identify opportunities to apply artificial intelligence to research or projects,"Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Identify opportunities where artificial intelligence, machine learning and deep learning can be applied to support the automation of work tasks and improve organisational productivity. This includes Identifying existing organisational AI, ML and DL technologies and processes, and documenting implementation options, advantages and risks for AI, ML and DL technologies in consultation with required personnel."
Update knowledge about emerging information technology industry or technology trends,"Research, evaluate or design new technologies",Performance evaluation and efficiency improvement,"Attend conferences, training sessions and review current literature and industry websites to keep up with recent and pending changes in the information technology industry. For example, developments in regulations, policies, technology, equipment, or systems."
Assemble electromechanical or hydraulic systems,Design or assemble equipment and systems,Production processes and machinery,"Assemble electromechanical or hydraulic systems (for example, turbines, control systems, generators, condensers, hydraulic control systems and hydraulic power systems) by arranging and connecting components, subsystems, or parts. This may involve the use of hand or power tools to connect, fasten, or secure components. Follow job and manufacturer specifications and work health and safety requirements. Perform tests in order to ensure systems are assembled properly and make any necessary alterations."
"Assemble machine tools, parts or fixtures",Design or assemble equipment and systems,Production processes and machinery,"Arrange and connect individual components or pieces to construct machine tools, parts, or fixtures. Follow standard operating procedures, job requirements, specifications, drawings, or other instructions to ensure equipment is accurately assembled. This may involve the use of hand or power tools to connect, fasten, or secure components. Position components and adjust alignment and leveling. Conduct tests of equipment to ensure the components are assembled appropriately and are functioning properly."
Assemble mechanical components or machine parts,Design or assemble equipment and systems,Production processes and machinery,"Arrange and connect mechanical components or machine parts according to designs, diagrams, technical instructions, manufacturer specifications or other instructions in order to assemble functioning units, products, or systems. This may involve the use of hand or power tools to connect, fasten, or secure components. Perform tests in order to ensure products or systems are assembled properly and make any necessary alterations."
Attach equipment extensions or accessories,Design or assemble equipment and systems,Production processes and machinery,"Attach or connect equipment extensions or accessories to existing equipment (for example, attaching nets, hooks, blades or slings to cables, booms, or hoists). Review work instructions and manufacturer specifications in order to determine the correct techniques, procedures, tools, and equipment. Inspect work and make adjustments in order to ensure proper attachment, safety, and functionality."
Create graphical representations of mechanical equipment,Design or assemble equipment and systems,Production processes and machinery,"Create graphical representations that illustrate mechanical equipment and associated components, parts, or functionality, in order to communicate information and increase understanding, or to support work or design processes. This may include utilising computer-aided design (CAD) tools or other software or graphic design tools. Review manuals, instructions, and operating procedures in order to determine the design's criteria. Add appropriate symbols, dimensioning, and other graphical convention information to designs in order to enhance reader's understanding of the work. Check visualisations to determine accuracy and compliance with specifications, making alterations as necessary."
Design control systems for mechanical or other equipment,Design or assemble equipment and systems,Production processes and machinery,"Design control systems that regulate the operation, performance, or functionality of mechanical or other equipment. Analyse equipment specifications, requirements, or functional needs to help guide the design process and select appropriate features such as circuits, algorithms, control strategies, sensors, and actuators. Conduct design tests to ensure the items meet specifications, safety, and regulatory requirements, and adjust as necessary."
Design electromechanical equipment or systems,Design or assemble equipment and systems,Production processes and machinery,"Formulate designs integrating both electrical and mechanical components to create complete electromechanical equipment or systems. Review specifications and functionality requirements to determine factors such as relevant materials, devices, components, and flow. Conduct prototyping and tests in order to determine if the design meets specifications, safety and regulatory requirements. Rectify faults and retest to ensure effective operation of design."
"Design industrial equipment, tools, or fixtures",Design or assemble equipment and systems,Production processes and machinery,"Design industrial equipment, tools, or fixtures to enhance the functionality, efficiency, or safety of industrial processes such as manufacturing, production, or material handling. Analyse process requirements, goals, or constraints to help guide the design process and select features such as functionality, size, shape, features, and material. Conduct design tests to ensure the items meet specifications, safety, and regulatory requirements, and adjust as necessary."
Design medical devices or appliances,"Design, repair or fabricate medical equipment",Production processes and machinery,"Design medical devices or appliances that address specific healthcare needs or that can be used to alleviate, diagnose, monitor, prevent, predict, or treat disease, illness, injury, or disability in patients. Review prescriptions, practitioner or patient requirements, or collaborate with healthcare professionals, technicians, researchers, or end-users to understand requirements and constraints. Utilise engineering principles, materials science, technical expertise, and medical or physiological knowledge to design devices that meet the intended purpose, and any functional, regulatory, and health and safety requirements."
Fabricate medical devices,"Design, repair or fabricate medical equipment",Production processes and machinery,"Construct, produce, or manufacture medical devices in accordance with design specifications, health and regulatory requirements. Review work orders, customer information, measurements, technical instructions, diagrams, specifications, or other information in order to select appropriate materials, machines, tools or techniques. Monitor the process and output in order to ensure quality and accuracy."
Repair medical facility equipment,"Design, repair or fabricate medical equipment",Production processes and machinery,"Find faults and calibrate, troubleshoot, or repair medical facility equipment (for example, diagnostic machines, laboratory equipment, surgical instruments, and patient monitoring systems) in order to correct malfunctions and ensure equipment is functioning reliably and accurately in accordance with strict quality and safety standards and other workplace procedures. This may involve the use of diagnostic tools or equipment to detect faults and may involve repairing or replacing parts and components or adjusting or troubleshooting systems issues."
Analyse design or requirements information for mechanical equipment or systems,Determining and configuring equipment and components,Production processes and machinery,"Review and analyse designs or information about the requirements for mechanical equipment or systems in order to determine information such as design feasibility, productivity, cost, requirements, issues or the resources required to realise designs or specifications. This may include the use of analytical methods, software tools, and providing recommendations for potential fixes or improvements."
"Determine types of equipment, tools, or materials needed for jobs",Determining and configuring equipment and components,Production processes and machinery,"Identify the appropriate equipment, tools, or materials required to complete tasks productively, efficiently, and safely. Inspect worksites and review technical specifications, product or material requirements and work instructions to help guide decisions. Consider factors such as functionality, compatibility, efficiency, and safety."
Develop equipment or component configurations,Determining and configuring equipment and components,Production processes and machinery,"Design or modify the particular arrangement, form, or combination of equipment or components to align with safety or workplace requirements and desired outcomes. Undertake conceptual design development by considering functional, performance and safety requirements, utilising technical knowledge and engineering principles, brainstorming ideas, and undertaking research. Use computer-aided design (CAD) software and other design tools to develop models of configurations. Conduct tests and adjust designs in order to ensure high quality output."
"Position patterns on equipment, materials or work pieces",Determining and configuring equipment and components,Production processes and machinery,"Place, align and adjust the positioning of patterns on equipment, materials, or work pieces to guide work, reduce material waste, and ensure accurate processing so that work meets design requirements and specifications. This may include making measurements or utilising guidelines, templates, markings or other alignment aids to ensure patterns are placed precisely and using weights or other stabilising tools to ensure patterns do not shift during production."
"Select tools, equipment, or technologies for use in operations or projects",Determining and configuring equipment and components,Production processes and machinery,"Identify and select required tools, equipment, or technologies for use in operations or projects. Consider factors such as desired outcomes, specifications, materials, and other resources and assess the capabilities, efficiency, or compatibility of different tools, technologies, and equipment against these. Analyse factors such as functionality, safety, reliability, and cost-effectiveness to help guide decisions."
Compile technical information or documentation,Develop and review technical designs and processes,Production processes and machinery,"Gather and organise technical information or documentation in order to increase understanding, facilitate work, analysis, or investigation, or meet reporting, evidentiary, or documentary requirements. Identify the required or relevant information and organise into logs, reports, summaries, or prepare or ingest data for analysis. Ensure organisation facilitates required use and data or documents are stored in accordance with relevant regulations, standards, or legislation."
Create electrical schematics,Develop and review technical designs and processes,Production processes and machinery,"Create graphical representations that illustrate electrical systems or equipment and their associated components, parts, processes, flows, or functionality, in order to communicate information and increase understanding, or to support work or design processes. This may include utilising computer-aided design (CAD) tools or other software or graphic design tools. Review manuals, instructions, and operating procedures in order to determine the design's criteria. Add appropriate symbols, dimensioning, and other graphical convention information to designs in order to enhance reader's understanding of the work. Check visualisations to determine accuracy and compliance with specifications, making alterations as necessary."
Create models of engineering designs or methods,Develop and review technical designs and processes,Production processes and machinery,"Develop and construct physical or digital models or prototypes of engineering designs or methods in order to communicate, test, or refine ideas, concepts, designs, or items. This may include the use of specialised software or modelling techniques to represent features such as functionality, structure, or behaviour. Apply engineering principles and interpret design requirements to determine the required materials and characteristics of the models. Test models to evaluate their effectiveness or feasibility."
Design industrial processing systems,Develop and review technical designs and processes,Production processes and machinery,"Design processing systems to control and manage industrial operations such as manufacturing, production, or material handling. Analyse process requirements, goals, or constraints to help guide the design process and select features such as layouts, components, processes, equipment specifications, or control strategies. Conduct design tests to ensure the system meets specifications, safety, and regulatory requirements, and adjust as necessary."
Determine technical requirements of productions or projects,Develop and review technical designs and processes,Production processes and machinery,"Determine the technical requirements in order to create successful artistic or audiovisual productions or projects. Review scripts, storyboards, direction from producers, directors or leaders, and other information sources to ensure understanding of project and determine work requirements. These may include the required materials, resources, equipment, tools, machinery, timeframes, dependencies, procedures, processes, sequences, or methods to deliver the required outcome."
Develop new or advanced products or production methods,Develop and review technical designs and processes,Production processes and machinery,"Generate innovative, new, or advanced products or production methods that increase functionality, safety, productivity, or efficiency. Use technical knowledge and expertise, research, problem-solving, and creative thinking to derive ideas for improvement or innovation. Trial new products or processes, interpret results, and fine tune to meet development or design requirements."
Develop technical methods or processes,Develop and review technical designs and processes,Production processes and machinery,"Develop, test and refine technical methods or processes in order to ensure or improve factors such as accuracy, efficiency, safety, functionality or quality. Use technical knowledge and expertise, research, problem-solving, and creative thinking to derive ideas for improvement or innovation or review existing methods or processes to identify opportunities to improve and implement changes. Conduct tests and adjust processes in order to ensure high quality output."
Develop technical specifications for systems or equipment,Develop and review technical designs and processes,Production processes and machinery,"Design and outline technical specifications for systems or equipment in order to guide their design, development, installation, configuration, production, or procurement. Determine purpose and scope and define factors such as functional requirements, performance criteria, dimensions, materials, power requirements, safety features, tolerances, and other specifications based on project or other needs. Consider regulatory and safety requirements. Ensure accuracy, completeness, and clarity to ensure documentation can be interpreted correctly."
"Document technical design details, specifications or requirements",Develop and review technical designs and processes,Production processes and machinery,"Prepare and maintain documentation on technical design details, specifications, or requirements (for example, dimensions, components, tolerances, design criteria, materials, structure specifications or processes), that outline the requirements to realise the design for a project, product, item, structure, or system. Organise and present key information to ensure clarity, understanding, and usability, and adhere to relevant industry standards. This may involve the use of CAD software, technical drawings, or other documentation tools to capture and convey critical information."
"Explain engineering drawings, specifications or other technical information",Develop and review technical designs and processes,Production processes and machinery,"Interpret engineering drawings, sketches, diagrams, or other technical information in order to clearly communicate relevant information about a design to individuals or teams. This may include explaining features such as details, symbols, dimensions, annotations, requirements, necessary materials, specifications, and procedures. Provide clear explanations of technical information, tailoring communication to the audience's level of understanding and technical knowledge."
Supervise technical operations of production to ensure creative direction is realised,Develop and review technical designs and processes,Production processes and machinery,"Oversee and manage the technical aspects of an artistic or audiovisual production to ensure the creative direction or vision is effectively executed. Review scripts, storyboards, direction from artistic or creative directors or leaders, and other information sources to ensure understanding of creative vision. Coordinate with production teams, designers, artists, and other technical staff to align technical processes with creative requirements. Provide guidance, instructions, or feedback to ensure adherence to vision and quality standards. Monitor and evaluate technical aspects such as lighting, sound, visual effects, or set design to achieve the desired creative outcomes."
Align equipment or machinery,"Fabricate, assemble or install components",Production processes and machinery,"Position, align, and adjust equipment or machinery to ensure proper functionality, accuracy, and efficiency. Adjust machine parts, components, or mechanisms to achieve proper alignment, and use markings, guides, or measuring tools such as levels, gauges, or alignment devices, to guide processes. Verify and adjust alignments as necessary to optimise equipment performance."
Assemble equipment or components,"Fabricate, assemble or install components",Production processes and machinery,"Arrange and connect individual pieces or parts to construct equipment or components. Follow standard operating procedures, job requirements, specifications, drawings, or other instructions to ensure equipment is accurately assembled. This may involve the use of hand or power tools to connect, fasten, or secure components. Position components and adjust alignment and leveling. Conduct tests of equipment to ensure the components are assembled appropriately and are functioning properly."
Assemble plastic or rubber parts or products,"Fabricate, assemble or install components",Production processes and machinery,"Arrange and combine or join plastic or rubber pieces or components in order to create plastic or rubber parts or products. This may involve the use of hand or power tools and using adhesives or bonding techniques. Follow standard operating procedures, job requirements, specifications, drawings, or other instructions to ensure objects are accurately assembled. Position components and adjust alignment and leveling. Conduct tests to ensure the components are assembled appropriately and to ensure the quality and safety of finished products."
Bind products or materials,"Fabricate, assemble or install components",Production processes and machinery,"Securely fasten or join products or materials together using binding techniques such as binding with adhesive, tape, stitching, or fasteners to create a strong and durable bond. Choose binding materials and techniques based on material requirements and desired finished product, ensure proper alignment, and follow work instructions or guidelines to ensure accuracy of finished product."
Bolt objects into place,"Fabricate, assemble or install components",Production processes and machinery,"Use bolts in order to fasten objects or components together or into place using hand or power tools. Use proper techniques to ensure good installation and safety, including selecting the correct fastener, proper tightening, using locking mechanisms or damping materials and ensuring adequate clearance to minimise the impact of vibration and thermal expansion and contraction. Verify the attachment is secure, functional, and make any required alterations to ensure functionality."
"Drill holes in parts, equipment or materials","Fabricate, assemble or install components",Production processes and machinery,"Operate drilling machines or tools to create holes in parts, equipment, or materials. Follow precise measurements, markings, or templates to ensure accurate hole placement and utilise guides and other aids as required. Select appropriate drill bits or cutting tools based on the material being drilled and apply appropriate drilling techniques, speeds, or feeds to achieve desired features. Adhere to safety procedures and use protective equipment during drilling operations."
Erect or dismantle temporary equipment or structures,"Fabricate, assemble or install components",Production processes and machinery,"Erect or dismantle temporary equipment or structures (for example, scaffolds, ladders, rigging and hoisting equipment), in order to aid construction work. Consider work requirements and follow assembly instructions and safety standards in order to select appropriate equipment, tools, or techniques and to ensure the proper alignment, safety, stability, and functionality equipment or structures."
"Fabricate products, parts, or components","Fabricate, assemble or install components",Production processes and machinery,"Construct, produce, or manufacture products, parts, or components using various production or manufacturing processes in accordance with work health and safety requirements. Review work orders, technical instructions, diagrams, specifications, or other information in order to select appropriate materials, machines, tools or techniques. Monitor the process and output in order to ensure quality and accuracy."
"Install equipment attachments, tools, or components","Fabricate, assemble or install components",Production processes and machinery,"Mount, attach, or install attachments, components, or tools onto equipment to facilitate specialised processes or tasks. Follow job requirements, manufacturer specifications and safety procedures, and select appropriate equipment, tools, techniques, and fasteners. Test equipment in order to ensure safe and proper functioning."
Install mechanical components in production equipment,"Fabricate, assemble or install components",Production processes and machinery,"Align, fit, connect, install, or integrate mechanical components in production equipment. Follow job requirements, technical documentation, manufacturer specifications and safety requirements to perform work and select appropriate tools, fasteners, and techniques. This may involve positioning, aligning, and securing equipment, components, or modules; or connecting them with electrical, mechanical, and fluid systems. Complete testing post-installation and adjust any faults as required to ensure proper installation, functionality, and safety."
"Install parts, assemblies or attachments in transportation or material-handling equipment","Fabricate, assemble or install components",Production processes and machinery,"Mount, attach, install, or integrate parts, assemblies, or attachments in transportation or material-handling equipment. Follow job requirements, technical documentation, manufacturer specifications and safety requirements to perform work and select appropriate tools, fasteners, and techniques. This may involve positioning, aligning, and securing parts, assemblies, or attachments; or connecting them with electrical, mechanical, and fluid systems. Complete testing post-installation and adjust any faults as required to ensure proper installation, functionality, and safety."
Install vehicle parts or accessories,"Fabricate, assemble or install components",Production processes and machinery,"Mount, attach, install, or integrate parts or accessories into vehicles. Follow job requirements, technical documentation, manufacturer specifications and safety requirements to perform work and select appropriate tools, fasteners, and techniques. This may involve positioning, aligning, and securing parts; or connecting parts with electrical, mechanical, and fluid systems. Complete testing post-installation and adjust any faults as required to ensure proper installation, functionality, and safety."
"Position equipment using hand tools, power tools or heavy equipment","Fabricate, assemble or install components",Production processes and machinery,"Position, align, or mount equipment for attachment, assembly, installation, or production using hand tools, power tools or heavy equipment. Follow blueprints, specifications, manufacturer guidelines or other instructions in order to ensure equipment is aligned correctly and adhere to work health and safety standards. Make adjustments as necessary to ensure proper placement or alignment."
"Solder work pieces, parts, or connections between parts","Fabricate, assemble or install components",Production processes and machinery,"Join, bond, or create a connection between two parts or pieces of metal by using soldering techniques. Apply heat to metal from a soldering iron or gas torch in order to melt and then cool parts and create a strong connection. Consider metal type to select appropriate solder material, technique, tools, and temperature. Follow work procedures and safety requirements to ensure work is completed accurately and efficiently. Inspect work to ensure the quality, strength, conductivity, and integrity of soldered joints and that work meets workplace standards."
Load items into ovens or furnaces,Load items into ovens or furnaces,Production processes and machinery,"Place products, materials, or items into ovens or furnaces for heating, curing, smoking, preserving, or processing. Follow job requirements, specifications, technical instructions, or other instructions in order to determine item arrangement to ensure even processing. Observe safety procedures to ensure proper and safe loading processes."
